epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,13175,0.3515,0.31854,0.43006,0.89235,0.92505,0.9214,0.96422,0.962,0.92218,0.9188,0.96006,0.95644,0.13317,0.29626,0.22364,0.7561,0.003565,0.003565,0.003565
67,13375.6,0.35376,0.32205,0.42904,0.89266,0.91952,0.92826,0.96572,0.96305,0.91689,0.92555,0.96154,0.95705,0.1321,0.30439,0.22026,0.75563,0.003466,0.003466,0.003466
68,13575.6,0.35151,0.32068,0.42704,0.89203,0.93415,0.91261,0.96515,0.96263,0.93185,0.91039,0.96176,0.95779,0.13108,0.30268,0.21653,0.75561,0.003367,0.003367,0.003367
69,13776,0.3474,0.31253,0.41913,0.89053,0.92249,0.91519,0.96372,0.96164,0.9135,0.92219,0.96008,0.95603,0.132,0.29858,0.21777,0.75555,0.003268,0.003268,0.003268
70,13977.7,0.34781,0.31153,0.42083,0.89144,0.91784,0.92755,0.96535,0.96272,0.92527,0.92072,0.96295,0.95957,0.13137,0.32294,0.21785,0.75485,0.003169,0.003169,0.003169
71,14176.4,0.34262,0.30966,0.41672,0.89034,0.92769,0.92529,0.96917,0.96663,0.92524,0.92315,0.96615,0.96291,0.13147,0.30246,0.21526,0.75523,0.00307,0.00307,0.00307
72,14374.5,0.34408,0.30845,0.41178,0.88967,0.90186,0.94109,0.96557,0.9634,0.89984,0.93907,0.96265,0.95856,0.13023,0.29445,0.21592,0.75477,0.002971,0.002971,0.002971
73,14572.9,0.34123,0.3105,0.40559,0.88966,0.91716,0.93295,0.96642,0.96437,0.92222,0.92227,0.96369,0.9606,0.12962,0.29708,0.2156,0.75476,0.002872,0.002872,0.002872
74,14770.2,0.33859,0.30406,0.40444,0.89017,0.9197,0.93061,0.96595,0.9633,0.91746,0.92852,0.96292,0.95876,0.12933,0.30117,0.21277,0.75494,0.002773,0.002773,0.002773
75,14969.4,0.33861,0.30665,0.40517,0.88926,0.90907,0.93921,0.96734,0.96494,0.907,0.93698,0.96464,0.95987,0.12903,0.28517,0.21372,0.75484,0.002674,0.002674,0.002674
76,15168.6,0.3398,0.31889,0.40126,0.88909,0.89464,0.94855,0.96474,0.96235,0.89272,0.94633,0.96196,0.95777,0.12814,0.28609,0.21872,0.75443,0.002575,0.002575,0.002575
77,15367.6,0.33686,0.29709,0.39763,0.88487,0.89978,0.94426,0.9665,0.96481,0.89716,0.94179,0.9626,0.95835,0.12753,0.29889,0.21396,0.75422,0.002476,0.002476,0.002476
78,15565.7,0.33346,0.29737,0.38746,0.88427,0.91697,0.93264,0.96673,0.96496,0.91428,0.92993,0.96273,0.95939,0.12697,0.29617,0.20985,0.75419,0.002377,0.002377,0.002377
79,15767,0.33045,0.2974,0.39048,0.88494,0.91438,0.93435,0.9649,0.96297,0.91231,0.93212,0.96157,0.95777,0.12685,0.29618,0.21272,0.7543,0.002278,0.002278,0.002278
80,15967.4,0.32945,0.29498,0.38276,0.88472,0.92262,0.92312,0.96573,0.96344,0.91995,0.92041,0.96175,0.95825,0.1276,0.30924,0.21458,0.75441,0.002179,0.002179,0.002179
81,16165.7,0.32971,0.3013,0.38093,0.88651,0.92476,0.92508,0.96781,0.96551,0.92194,0.92243,0.96366,0.9604,0.12746,0.30245,0.20957,0.75442,0.00208,0.00208,0.00208
82,16365.8,0.32819,0.29345,0.38084,0.88422,0.93113,0.9222,0.96791,0.96562,0.92833,0.91949,0.96373,0.95991,0.12638,0.29761,0.21052,0.7543,0.001981,0.001981,0.001981
83,16566.3,0.32624,0.29938,0.37618,0.88459,0.9277,0.92859,0.96803,0.96581,0.92494,0.92588,0.96412,0.96076,0.12631,0.29466,0.20929,0.75425,0.001882,0.001882,0.001882
84,16765.2,0.32275,0.2975,0.36818,0.88416,0.94048,0.91639,0.9689,0.96691,0.93762,0.91368,0.96434,0.9614,0.12601,0.30271,0.20794,0.75404,0.001783,0.001783,0.001783
85,16965,0.32158,0.29169,0.36839,0.88374,0.93676,0.91904,0.96699,0.96416,0.93394,0.91633,0.9627,0.95958,0.12581,0.30639,0.20978,0.75412,0.001684,0.001684,0.001684
86,17164.1,0.3211,0.29769,0.36909,0.88175,0.94142,0.9193,0.96744,0.96491,0.93856,0.91659,0.96343,0.95975,0.12527,0.29452,0.20924,0.75393,0.001585,0.001585,0.001585
87,17364.9,0.31928,0.2882,0.35993,0.88266,0.93403,0.92578,0.96666,0.96388,0.93132,0.92307,0.96297,0.95949,0.12534,0.29883,0.21169,0.75382,0.001486,0.001486,0.001486
88,17564.5,0.3181,0.28722,0.36371,0.88162,0.93735,0.91914,0.96499,0.96258,0.9346,0.91643,0.96125,0.95767,0.12566,0.3038,0.2133,0.75404,0.001387,0.001387,0.001387
89,17765.6,0.31655,0.29523,0.35667,0.88094,0.94543,0.91042,0.96564,0.96339,0.94246,0.90771,0.96234,0.9592,0.12556,0.29249,0.2124,0.75396,0.001288,0.001288,0.001288
90,17966.6,0.31754,0.28755,0.35787,0.88245,0.93439,0.92125,0.96589,0.96323,0.93157,0.91854,0.9623,0.95908,0.12506,0.27884,0.2107,0.7536,0.001189,0.001189,0.001189
91,18156.5,0.17792,0.24841,0.23459,0.79417,0.94911,0.90928,0.96706,0.9643,0.94611,0.90657,0.96287,0.96003,0.12436,0.28296,0.21363,0.75328,0.00109,0.00109,0.00109
92,18346,0.17676,0.24298,0.22221,0.79334,0.92222,0.93418,0.96699,0.96427,0.91951,0.93147,0.9632,0.95995,0.12362,0.27821,0.21194,0.75309,0.000991,0.000991,0.000991
93,18558.9,0.17279,0.24391,0.21474,0.79118,0.93073,0.93139,0.96619,0.96401,0.92794,0.92868,0.96231,0.95919,0.12297,0.27521,0.21223,0.75297,0.000892,0.000892,0.000892
94,18748.9,0.17306,0.2414,0.212,0.79233,0.93558,0.92488,0.9659,0.96343,0.93327,0.92265,0.96251,0.95896,0.1226,0.27515,0.21191,0.75296,0.000793,0.000793,0.000793
95,18937.9,0.17179,0.23847,0.21114,0.79363,0.929,0.9314,0.96608,0.96405,0.92619,0.92869,0.96206,0.95894,0.12265,0.27427,0.21336,0.753,0.000694,0.000694,0.000694
96,19127.4,0.16915,0.23635,0.204,0.79267,0.92481,0.9299,0.96512,0.96294,0.92248,0.92768,0.96186,0.95792,0.12256,0.27335,0.21459,0.75293,0.000595,0.000595,0.000595
97,19315.3,0.16789,0.23532,0.20145,0.79205,0.90919,0.94416,0.96504,0.96279,0.90654,0.94145,0.96097,0.95783,0.12256,0.27314,0.2146,0.75297,0.000496,0.000496,0.000496
98,19503.5,0.1664,0.2367,0.1958,0.79474,0.9178,0.93865,0.96498,0.9627,0.9151,0.93594,0.96133,0.95793,0.12248,0.2828,0.21443,0.75299,0.000397,0.000397,0.000397
99,19691.4,0.16546,0.23412,0.19364,0.79187,0.9304,0.93305,0.96502,0.96276,0.92762,0.93081,0.96135,0.95801,0.12246,0.28388,0.21438,0.75309,0.000298,0.000298,0.000298
100,19881,0.16297,0.23435,0.18697,0.79141,0.92767,0.93592,0.96474,0.96245,0.92488,0.93321,0.96103,0.95769,0.1224,0.28421,0.21584,0.75309,0.000199,0.000199,0.000199
